author,collection_name,place of birth,coordinates_place_of_birth,lat_place_of_birth,long_place_of_birth,country_of_birth,place of death,coordinate_place_of_death,lat_place_of_death,long_place_of_death,country_of_death,country of citizenship 1,country of citizenship 2,country of citizenship 3,sex or gender,spouse,collection_organizer
Enrique Lihn Carrasco,Enrique Lihn Collection,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Chile,,,male,,
Wolfgang A. Luchting,Wolfgang A. Luchting Correspondence,,,,,,,,,,,,,,male,,
José Martínez Sotomayor,José Martínez Sotomayor Papers,Guadalajara,"20.676666666667,-103.3475",20.676666666667,-103.3475,Mexico,,,,,,Mexico,,,male,,
Augusto Monterroso,Augusto Monterroso Papers,Tegucigalpa,"14.094166666667,-87.206666666667",14.094166666667,-87.206666666667,Honduras,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Honduras; Guatemala,Guatemala,,male,Bárbara Jacobs,
Manuel Mujica Lainez,Manuel Mujica Láinez Papers,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Córdoba Province,"-32,-64",-32,-64,Argentina,Argentina,,,male,,
Salvador Novo,Archivo de Salvador Novo,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico,,,male,,
Silvina Ocampo,Silvina Ocampo Papers,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Argentina,,,female,Adolfo Bioy Casares,
María Rosa Oliver,María Rosa Oliver Papers,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Argentina,,,female,,
Abelardo Oquendo Cueto,Abelardo Oquendo Correspondence,Callao,"-12.052222222222222,-77.13916666666667",-12.052222222222222,-77.13916666666667,Peru,Lima,"-12.06,-77.0375",-12.06,-77.0375,Peru,Peru,,,male,,
Bernardo Ortiz de Montellano,Bernardo Ortiz de Montellano Papers,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico,,,male,,
